condition,distortion_type,level,mean_snr_db,class_name,map50,map50_95
distorted,salt_pepper,3,7.97,sandwich,0.0,0.0
distorted,salt_pepper,3,7.97,orange,0.0,0.0
distorted,salt_pepper,3,7.97,broccoli,0.4975,0.4975
distorted,salt_pepper,3,7.97,pizza,0.0,0.0
distorted,salt_pepper,3,7.97,cake,0.1675,0.1507
distorted,salt_pepper,3,7.97,chair,0.011,0.0088
distorted,salt_pepper,3,7.97,potted plant,0.245,0.147
distorted,salt_pepper,3,7.97,bed,0.0622,0.0373
distorted,salt_pepper,3,7.97,dining table,0.0633,0.0452
distorted,salt_pepper,3,7.97,microwave,0.0,0.0
distorted,salt_pepper,3,7.97,oven,0.0206,0.0062
distorted,salt_pepper,3,7.97,sink,0.0,0.0
distorted,salt_pepper,3,7.97,refrigerator,0.0,0.0
distorted,salt_pepper,3,7.97,book,0.0,0.0
distorted,salt_pepper,3,7.97,clock,0.067,0.0402
distorted,salt_pepper,3,7.97,vase,0.0,0.0
distorted,salt_pepper,3,7.97,teddy bear,0.0,0.0
distorted,salt_pepper,4,4.9,all,0.0649,0.0435
distorted,salt_pepper,4,4.9,person,0.0355,0.012
distorted,salt_pepper,4,4.9,bicycle,0.0,0.0
distorted,salt_pepper,4,4.9,car,0.0,0.0
distorted,salt_pepper,4,4.9,motorcycle,0.0,0.0
distorted,salt_pepper,4,4.9,airplane,0.0,0.0
distorted,salt_pepper,4,4.9,train,0.199,0.0398
distorted,salt_pepper,4,4.9,truck,0.0,0.0
distorted,salt_pepper,4,4.9,stop sign,0.0,0.0
distorted,salt_pepper,4,4.9,bench,0.0,0.0
distorted,salt_pepper,4,4.9,bird,0.0008,0.0005
distorted,salt_pepper,4,4.9,dog,0.0,0.0
distorted,salt_pepper,4,4.9,horse,0.2475,0.099
distorted,salt_pepper,4,4.9,elephant,0.099,0.0099
distorted,salt_pepper,4,4.9,zebra,0.995,0.8955
distorted,salt_pepper,4,4.9,giraffe,0.0731,0.0288
distorted,salt_pepper,4,4.9,umbrella,0.1225,0.0626
distorted,salt_pepper,4,4.9,handbag,0.0,0.0
distorted,salt_pepper,4,4.9,skateboard,0.0,0.0
distorted,salt_pepper,4,4.9,bottle,0.0,0.0
distorted,salt_pepper,4,4.9,cup,0.0,0.0
distorted,salt_pepper,4,4.9,fork,0.0,0.0
distorted,salt_pepper,4,4.9,knife,0.0,0.0
distorted,salt_pepper,4,4.9,spoon,0.0,0.0
distorted,salt_pepper,4,4.9,bowl,0.245,0.049
distorted,salt_pepper,4,4.9,banana,0.0,0.0
distorted,salt_pepper,4,4.9,sandwich,0.0,0.0
distorted,salt_pepper,4,4.9,orange,0.0,0.0
distorted,salt_pepper,4,4.9,broccoli,0.4975,0.4477
distorted,salt_pepper,4,4.9,pizza,0.0,0.0
distorted,salt_pepper,4,4.9,cake,0.1989,0.179
distorted,salt_pepper,4,4.9,chair,0.0036,0.0029
distorted,salt_pepper,4,4.9,potted plant,0.0,0.0
distorted,salt_pepper,4,4.9,bed,0.0,0.0
distorted,salt_pepper,4,4.9,dining table,0.0104,0.0021
distorted,salt_pepper,4,4.9,microwave,0.0,0.0
distorted,salt_pepper,4,4.9,oven,0.0,0.0
distorted,salt_pepper,4,4.9,sink,0.0,0.0
distorted,salt_pepper,4,4.9,refrigerator,0.0,0.0
distorted,salt_pepper,4,4.9,book,0.0,0.0
distorted,salt_pepper,4,4.9,clock,0.0,0.0
distorted,salt_pepper,4,4.9,vase,0.0,0.0
distorted,salt_pepper,4,4.9,teddy bear,0.0,0.0
distorted,low_light,1,12.11,all,0.7562,0.5841
distorted,low_light,1,12.11,person,0.7871,0.4866
distorted,low_light,1,12.11,bicycle,0.995,0.8955
distorted,low_light,1,12.11,car,0.4007,0.2157
distorted,low_light,1,12.11,motorcycle,0.9125,0.6233
distorted,low_light,1,12.11,airplane,0.995,0.8955
distorted,low_light,1,12.11,train,0.995,0.995
distorted,low_light,1,12.11,truck,0.5632,0.3799
distorted,low_light,1,12.11,stop sign,0.995,0.597
distorted,low_light,1,12.11,bench,0.72,0.4376
distorted,low_light,1,12.11,bird,0.8686,0.5935
distorted,low_light,1,12.11,dog,0.863,0.7046
distorted,low_light,1,12.11,horse,0.995,0.646
distorted,low_light,1,12.11,elephant,0.8283,0.496
distorted,low_light,1,12.11,zebra,0.995,0.995
distorted,low_light,1,12.11,giraffe,0.9506,0.6873
distorted,low_light,1,12.11,umbrella,0.4558,0.3865
distorted,low_light,1,12.11,handbag,0.3586,0.1298
distorted,low_light,1,12.11,skateboard,0.335,0.201
distorted,low_light,1,12.11,bottle,0.3317,0.2985
distorted,low_light,1,12.11,cup,0.272,0.1836
distorted,low_light,1,12.11,fork,0.5538,0.5009
distorted,low_light,1,12.11,knife,0.886,0.6122
distorted,low_light,1,12.11,spoon,0.995,0.8955
distorted,low_light,1,12.11,bowl,0.995,0.7788
distorted,low_light,1,12.11,banana,0.1106,0.0401
distorted,low_light,1,12.11,sandwich,0.4975,0.4975
distorted,low_light,1,12.11,orange,0.945,0.615
distorted,low_light,1,12.11,broccoli,0.995,0.995
distorted,low_light,1,12.11,pizza,0.995,0.796
distorted,low_light,1,12.11,cake,0.995,0.8463
distorted,low_light,1,12.11,chair,0.4604,0.3048
distorted,low_light,1,12.11,potted plant,0.8219,0.6111
distorted,low_light,1,12.11,bed,0.995,0.796
distorted,low_light,1,12.11,dining table,0.5173,0.3605
distorted,low_light,1,12.11,microwave,0.995,0.8955
distorted,low_light,1,12.11,oven,0.495,0.495
distorted,low_light,1,12.11,sink,0.995,0.6965
distorted,low_light,1,12.11,refrigerator,0.995,0.6965
distorted,low_light,1,12.11,book,0.9117,0.5386
distorted,low_light,1,12.11,clock,0.995,0.8515
distorted,low_light,1,12.11,vase,0.8283,0.795
distorted,low_light,1,12.11,teddy bear,0.1658,0.0663
distorted,low_light,2,7.56,all,0.7228,0.5613
distorted,low_light,2,7.56,person,0.7497,0.4658
distorted,low_light,2,7.56,bicycle,0.995,0.8955
distorted,low_light,2,7.56,car,0.355,0.222
distorted,low_light,2,7.56,motorcycle,0.995,0.7195
distorted,low_light,2,7.56,airplane,0.995,0.8955
distorted,low_light,2,7.56,train,0.995,0.995
distorted,low_light,2,7.56,truck,0.495,0.4205
distorted,low_light,2,7.56,stop sign,0.995,0.8955
distorted,low_light,2,7.56,bench,0.6633,0.4387
distorted,low_light,2,7.56,bird,0.8517,0.5396
distorted,low_light,2,7.56,dog,0.9125,0.7723
distorted,low_light,2,7.56,horse,0.995,0.6741
distorted,low_light,2,7.56,elephant,0.995,0.4793
distorted,low_light,2,7.56,zebra,0.995,0.995
distorted,low_light,2,7.56,giraffe,0.9435,0.7293
distorted,low_light,2,7.56,umbrella,0.495,0.3488
distorted,low_light,2,7.56,handbag,0.2211,0.0654
distorted,low_light,2,7.56,skateboard,0.335,0.1675
distorted,low_light,2,7.56,bottle,0.3317,0.3317
distorted,low_light,2,7.56,cup,0.2699,0.1672
distorted,low_light,2,7.56,fork,0.5262,0.5012
distorted,low_light,2,7.56,knife,0.8588,0.6419
distorted,low_light,2,7.56,spoon,0.995,0.8955
distorted,low_light,2,7.56,bowl,0.995,0.8203
distorted,low_light,2,7.56,banana,0.0995,0.0393
distorted,low_light,2,7.56,sandwich,0.3317,0.2985
distorted,low_light,2,7.56,orange,0.8492,0.4947
distorted,low_light,2,7.56,broccoli,0.995,0.995
distorted,low_light,2,7.56,pizza,0.995,0.796
distorted,low_light,2,7.56,cake,0.995,0.8793
distorted,low_light,2,7.56,chair,0.443,0.3001
distorted,low_light,2,7.56,potted plant,0.7825,0.5595
distorted,low_light,2,7.56,bed,0.995,0.796
distorted,low_light,2,7.56,dining table,0.5345,0.3803
distorted,low_light,2,7.56,microwave,0.0,0.0
distorted,low_light,2,7.56,oven,0.495,0.495
distorted,low_light,2,7.56,sink,0.995,0.6965
distorted,low_light,2,7.56,refrigerator,0.995,0.6965
distorted,low_light,2,7.56,book,0.87,0.437
distorted,low_light,2,7.56,clock,0.995,0.8183
distorted,low_light,2,7.56,vase,0.8283,0.795
distorted,low_light,2,7.56,teddy bear,0.199,0.0199
distorted,low_light,3,4.18,all,0.644,0.4881
distorted,low_light,3,4.18,person,0.7147,0.4655
distorted,low_light,3,4.18,bicycle,0.995,0.8955
distorted,low_light,3,4.18,car,0.2892,0.1853
distorted,low_light,3,4.18,motorcycle,0.8064,0.5226
distorted,low_light,3,4.18,airplane,0.995,0.8955
distorted,low_light,3,4.18,train,0.995,0.995
distorted,low_light,3,4.18,truck,0.345,0.2152
distorted,low_light,3,4.18,stop sign,0.995,0.8955
distorted,low_light,3,4.18,bench,0.4832,0.3555
distorted,low_light,3,4.18,bird,0.7566,0.4039
